code,sectionId,recordTime,quota,enrol,wait
COMP4211,1,0,70,1,0
COMP4211,1,1,70,1,0
COMP4211,1,2,70,10,0
COMP4211,1,3,70,12,0
COMP4211,1,4,55,22,0
COMP4211,1,5,55,23,0
COMP4211,1,6,55,29,0
COMP4211,1,7,55,31,0
COMP4211,1,8,55,46,0
COMP4211,1,9,55,47,0
COMP4211,1,10,55,55,3
COMP4211,1,11,55,55,8
COMP4211,1,12,55,54,20
COMP4211,1,13,55,55,19
COMP4211,1,14,55,55,25
COMP4211,1,15,55,55,25
COMP4211,1,16,55,54,35
COMP4211,1,17,55,55,36
COMP4211,1,18,55,55,-1
COMP4211,1,19,55,55,-1
COMP4211,1,20,55,55,-1
COMP4211,1,21,55,55,-1
COMP4211,1,22,55,55,-1
COMP4211,1,23,55,55,37
COMP4211,1,24,55,55,37
COMP4211,1,25,55,55,37
COMP4211,1,26,55,55,37
COMP4211,1,27,55,55,37
COMP4211,1,28,55,55,38
COMP4211,1,29,55,55,38
COMP4211,1,30,55,55,38
COMP4211,1,31,55,55,39
COMP4211,1,32,55,55,38
COMP4211,1,33,55,55,38
COMP4211,1,34,55,55,38
COMP4211,1,35,55,55,38
COMP4211,1,36,55,55,38
COMP4211,1,37,55,55,38
COMP4211,1,38,55,55,38
COMP4211,1,39,55,55,38
COMP4211,1,40,55,55,38
COMP4211,1,41,55,55,38
COMP4211,1,42,55,55,38
COMP4211,1,43,55,55,38
COMP4211,1,44,55,55,38
COMP4211,1,45,55,55,38
COMP4211,1,46,55,55,-1
COMP4211,1,47,55,55,-1
COMP4211,1,48,55,55,-1
COMP4211,1,49,55,55,38
COMP4211,1,50,55,55,47
COMP4211,1,51,55,55,48
COMP4211,1,52,55,55,52
COMP4211,1,53,55,55,52
COMP4211,1,54,55,55,57
COMP4211,1,55,55,55,57
COMP4211,1,56,55,55,62
COMP4211,1,57,55,55,61
COMP4211,1,58,55,55,-1
COMP4211,1,59,55,55,-1
COMP4211,1,60,55,55,-1
COMP4211,1,61,55,55,-1
COMP4211,1,62,55,55,61
COMP4211,1,63,55,55,61
COMP4211,1,64,55,55,61
COMP4211,1,65,55,55,61
COMP4211,1,66,55,55,61
COMP4211,1,67,55,55,61
COMP4211,1,68,55,55,61
COMP4211,1,69,55,55,60
COMP4211,1,70,55,55,60
COMP4211,1,71,55,55,60
COMP4211,1,72,55,55,60
COMP4211,1,73,55,55,-1
COMP4211,1,74,55,55,60
COMP4211,1,75,55,55,60
COMP4211,1,76,55,55,60
COMP4211,1,77,55,55,60
COMP4211,1,78,55,55,60
COMP4211,1,79,55,55,60
COMP4211,1,80,55,55,60
